,"date of 
loss",date signed,date closed,,,,,Initial Reserve - Bld,Adj Reserve - Bld,Settlement Amt - Bld,Variance ($) (Stl - Init Rsv) - Bld,Variance (% of Stl) (Stl - Init Rsv) - Bld,Initial Reserve - Cont,Adj Reserve - Cont,Settlement Amt - Cont,Variance ($) (Stl - Init Rsv) - Cont,Variance (% of Stl) (Stl - Init Rsv) - Cont,Initial Reserve - BI,Adj Reserve - BI,Settlement Amt - BI,Variance ($) (Stl - Init Rsv) - BI,Variance (% of Stl) (Stl - Init Rsv) - BI,Fee - Bld,Fee - Cont,Fee - BI,Fees Collected,Write off,A/R,,,,,,,,,Comments,,
2017179,,8/9/17,1/11/20,Closed,,Detroit,MI, $-   , $-   ," $659,865 ","$659,865",100%, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,0.00%,0.00%,0.00%,"$79,899",,,Solicitor 1 SXR,Solicitor 2 DC1,Building Support CPB,Building Adjuster MAM,Building Support RPL,Building Adjuster GCB,Lead RPL,Building Adjuster RPL,,,
2017178,,9/26/17,1/11/20,Closed,,Romulus,MI," $2,000,000 "," $3,500,000 "," $3,777,313 ","$1,777,313",47%, $-   , $-   , $-   ,$0,#DIV/0!," $75,000 ", $-   ," $461,894 ","$386,894",84%,6.00%,0.00%,6.00%,"$248,473",,,Solicitor 1 EAG,Solicitor 2 DC1,BI Support YXG,Lead KSV,BI Adjuster KSV,Building Adjuster KSV,Contents Adjuster KSV,,,,
2017088,,5/15/17,1/11/20,Closed - Lawsuit,,Detroit,MI," $500,000 ", $-   , $-   ,"$500,000",#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,6.00%,6.00%,0.00%,,,,Solicitor 1 CMG,,Building Adjuster JEM,Lead JEM,Contents Adjuster RWS,Contents Adjuster JEM,,,Closed - Lawsuit,,
2017087,,5/15/17,1/11/20,Closed - Lawsuit,,Detroit,MI," $350,000 ", $-   , $-   ,"$350,000",#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,6.00%,6.00%,0.00%,,,,Solicitor 1 CMG,,Building Adjuster JEM,Lead JEM,Contents Adjuster JEM,Contents Adjuster RWS,,,Closed - Lawsuit,,
2017067,,4/7/17,1/11/20,Closed - Lawsuit,,Detroit,MI," $350,000 ", $-   , $-   ,"$350,000",#DIV/0!," $15,000 ", $-   , $-   ,"$15,000",#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,6.00%,6.00%,0.00%,,,,Solicitor 1 CMG,,Contents Adjuster RWS,Contents Adjuster JEM,Building Adjuster JEM,Lead JEM,,,Closed - Lawsuit,,
2017035,,2/16/17,1/11/20,Closed,,Charlevoix,MI, $-   , $-   , $-   ,$0,#DIV/0!," $300,000 ", $-   ," $241,789 ","$58,211",-24%," $300,000 ", $-   ," $92,174 ","$207,826",-225%,0.00%,9.00%,9.00%,"$28,696",,,Solicitor 1 GCB,Solicitor 2 KSV,BI Support GCB,BI Adjuster KSV,Contents Adjuster RWS,BI Support YXG,Lead KSV,Contents Adjuster KSV,,,
2016107,,10/23/17,1/11/20,Closed,,Wolverine Lake,MI," $250,000 ", $-   ," $44,889 ","$205,111",-457%," $175,000 ", $-   ," $56,890 ","$118,110",-208%," $40,000 ", $-   , $-   ,"$40,000",#DIV/0!,10.00%,10.00%,10.00%,"$9,728",,,Solicitor 1 EAG,,Contents Adjuster KLT,Lead KLT,BI Adjuster KLT,Building Support CSS,,,,,
2019098,6/27/19,7/15/19,,Open,,West,MI," $250,000 ", $-   ," $241,532 ","$8,468",-4%, $-   , $-   , $-   ,$0 ,#DIV/0!, $-   , $-   , $-   ,$0,#DIV/0!,10.00%,0.00%,0.00%,"$25,275",$0,$0,Solicitor 1 CMG,,Lead KSV,Building Adjuster MAM,Building Adjuster KSV,,,,,,
,,,,,,,,,," $88,750,931 ",,,,," $14,292,536 ",,,,," $9,567,476 ",,,,,sums,"$8,475,421","$187,853",$771,,x,,,,,,,,,
,,,,,,,,,,,,,,," $112,610,943 ",,,,,,,,,,,7.53%,2.22%,,,x,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,fees collected / total settlements (%),WO as % fees collected,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,Fees Collected,Write offs,AR,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Total Settlements in 2020 (through Dec. 21),,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,"$112,610,943",,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,% Fee,Revenue Increase,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,Actual GM Average,7.53%,-,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,If + 0.25%,7.78%,"$281,527",,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,If + 0.50%,8.03%,"$563,055",,,,,,,,,,,,,,,
